video_url,author,text,time
https://www.youtube.com/watch?v=hzUG58aJ124,@johanprabowo6319,"Kalo redux seneng mobil tuanya doang, saya penasaran nnti jdnya gmana modifannya gmana",4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Riwew123,999,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@akhsanzahrie6587,Kok gw nggak bisa pasang nfs redux,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@deksilagaming1745,Game waktu kelas 1SD,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@RizkyHaidar,Most wanted redux tidak mengecewakan,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@RizkyHaidar,Hebat Ggyt,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@ackermanaviation7607,BANG!,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andrepp1304,cheat engine are you kidding me,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@NiceTry222, @zakkyfajarsiddiq5432  Anjir ngatain ganteng diri sndiri-_,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@muhammadghoziabdillah2530,Aku main di laptop ka tapi gk pake hd,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@flyhigh8831,Tapi burik kun dah,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@YuuOkkotsu,"""perkenalkan saya youtuber baru""
""hp cuma 1""
""edit sendiri (baru belajar ngedit)""
""konten ngegame'
""saya butuh dukungan kalian semua""
""insyaaallah menghibur",3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@fahdiachmad1384,Bang lu tau judul lagu yang menit 2:35,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@ian.zldyck,Masih ad cheat nya bng,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@yantitri8315,Geisan,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Elmubarak07,"Dan tanpa ada bocil ff 
FF game buriq",3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@larsenmarianna, @muhammadfaaza3074  rakit tank sono,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@RizkyHaidar, @fahdiachmad1384  where we started,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@fahdiachmad1384, @RizkyHaidar  makasih😀🤩👍😭,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Dj_MasterArz-zn4ph,Ok the words that you put on the screen is English but you don't ?,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Dj_MasterArz-zn4ph,Ok the words on the screen are English but you are not?,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@larsenmarianna, @Dj_MasterArz-zn4ph  bro Auto Translate for title in yt is exist,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@diarydekbunga777, @aidil713  ssssfz,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@arikowidtrash7074,"Most wanted redux jelek kah gan?
bedanya dengan ini gimana?",3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@erik_salman,well.. dulu gw pake cheat engine buat ini game wkwkwk,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@KyukaiCorporate,Belum ada epictos momentos 🗿,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@praszx.kaslana,masa masa masih menjadi bocil warnet,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@py_code3541,"Gw juga bocil banh tapi ga gitu🗿, paling maen dah tamat pas esde kls 2/1",3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@maulana_1318,Di playstore ko prabayar yaah....,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@clift-edgevss9850,emang bnr sih pada kalanya itu game ini terkenal banget dah mana seru banget lagi wkwkwk,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@rezasetiawan6723, @Nthnaze  Iik skssideeweeoee7laeeeewewwe9weeeaeawu⁸ljs es re,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@25_muh.ardiansyahzainulsah74, @Nthnaze  kppp.,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@muhammadhasim2937,Cara melewati jebakan razor gimana bang,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@vianvian2710,Bagi link dan tutor masangnya,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@afiftyosulton7427,Maaf juga telat 2 tahun,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@fuadkurniawan3339,Muantaabb 👍👍,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@rahmanfilmsuzanna5232,AMMANG nama-nama Salatiga Bang kasih Diamond dulu Bang aku masih bisa main sama saudara,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,00,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,00,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936,0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936, @aidil713  0000,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936, @aidil713  0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936, @aidil713  0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936, @aidil713  0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936, @aidil713  0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@andryanfauzy936, @aidil713  0,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@kenn_MW,sory telat 2 th,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@aldi1521,Opp,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@sagimankembang4553, @Nthnaze  ll,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@ricbertpangandaheng4047,telat 2 thn,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@ManeIkanBilisnye88,ada kok cheat nya,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@faldigaming7686,Mampir,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@raffiazwin21,Abg nya mengkeren cok,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@sahaweeeee6509,Emang lu bukan bocil?,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@mohamadalfitra6600,U9,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@mohamadalfitra6600, @Nthnaze  u8,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@mohamadalfitra6600,"Iì
Oippo",2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@mohamadalfitra6600,Uuuioo0,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@mohamadalfitra6600, @Nthnaze  ì789,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@mohamadalfitra6600,Ýdt698i8,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@haizech.,Y,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@yenitbb1560, @pndakuningrem7236  itu,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@CR7LN,Gak sih juga sih redux berikan kenangan,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@truegodoffictionalverse,Gak mengecewakan NFS redux bro kasian punya edition udah cepek cepek bikin malah bilang mengecewakan kalo gak bisa tamat pakai aja redux padahal tambahkan grafik walaupun mobil cepat tapi masih mobil kemenangan Kalo kamu anak NFS most wanted harus support sejati kamu udah dewasa jgn bilang mengecewakan kasian punya cuma demi buat player gak bisa tamatkan game walaupun merugikan tapi gapapa yg penting mereka juga coba sadar kamu juga harus berubah gak usah bilang mengecewakan lupakan itu mending nostalgia untuk GGyt Gaming HD,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@ardisukardi7034,​ @aidil713 ,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Zvenits18,btul bgt,2 tahun yang lalu
